"SEGMENTID","STREET","DIRECTION","FROM_STREET","TO_STREET","LENGTH"," STREET_HEADING"," CURRENT_SPEED"," LAST_UPDATED"
"735","Elston","SE","Ashland","North Ave","0.62","N","-1","2011-08-02 14:21:04.0"
"988","Torrence","SB","95th","99th","0.49","S","-1","2010-07-21 14:51:10.0"
"524","Caldwell","SE","Mendota","Devon","0.96","N","-1","2012-11-02 13:21:09.0"
"726","Elston","NW","Kedzie","Central Park","0.7","N","-1","2010-07-21 14:50:46.0"
"1167","Harlem","SB","Roosevelt","Cermak","1.0131203001","S","-1","2010-07-21 14:51:12.0"
"1135","Harlem","NB","95th","87th","0.985856855567","S","-1","2010-07-21 14:51:13.0"
"433","31st","EB","State","Dr Martin L King Jr","0.48","E","-1","2010-07-21 14:50:26.0"
"1017","Touhy","WB","Kedzie","Pulaski","1.0","W","-1","2010-07-21 14:50:53.0"
"963","Ontario","WB","LaSalle","Orleans","0.23","W","-1","2010-07-21 14:51:01.0"
"764","Harlem","NB","Archer","53RD","0.26","S","-1","2010-07-21 14:50:53.0"
"729","Elston","NW","Kostner","Cicero","0.68","N","-1","2010-07-21 14:50:46.0"
"1279","Columbus","SB","Randolph","Congress","0.59","S","-1","2011-08-10 00:00:00.0"
"95","Pulaski","SB","Foster","Lawrence","0.5","N","-1","2026-01-29 03:20:33.0"
"656","Congress","EB","State","Michigan","0.17","E","-1","2026-01-29 03:20:35.0"
"1060","Randolph","WB","Racine","Ogden","0.34","W","-1","2026-01-29 03:20:36.0"
"639","Cicero","SB","43rd","47th","0.5","S","-1","2026-01-29 03:20:35.0"
"330","Western","NB","99th","95th","0.5","S","-1","2026-01-29 03:20:34.0"
"387","Western","SB","31st","Archer","0.91","S","-1","2026-01-29 03:20:34.0"
"1212","Halsted","NB","47th","43rd","0.5","S","-1","2026-01-29 03:20:37.0"
"629","Cicero","NB","Irving Park","Sunnyside","0.61","N","-1","2026-01-29 03:20:35.0"
"221","Roosevelt","EB","California","Western","0.5","W","-1","2026-01-29 03:20:34.0"
"280","Irving Park","EB","Oriole","Harlem","0.5","W","-1","2026-01-29 03:20:35.0"
"346","Western","NB","Archer","31st","0.91","S","27","2026-01-29 03:20:34.0"
"143","Ashland","SB","47th","51st","0.5","S","-1","2026-01-29 03:20:32.0"
"401","Western","SB","Belmont","Diversey","0.5","N","-1","2026-01-29 03:20:34.0"
"209","North","WB","Ashland","Damen","0.5","W","-1","2026-01-29 03:20:33.0"
"1236","Halsted","SB","91st","95th","0.5","S","-1","2026-01-29 03:20:36.0"
"645","Cicero","SB","Division","Chicago","0.51","N","-1","2026-01-29 03:20:35.0"
"684","Dr Martin L King Jr","NB","91st","87th","0.5","S","-1","2026-01-29 03:20:35.0"
"1217","Halsted","NB","Archer","Cermak","0.4","S","21","2026-01-29 03:20:37.0"
"202","North","WB","Kostner","Cicero","0.5","W","-1","2026-01-29 03:20:33.0"
"90","Pulaski","SB","Diversey","Fullerton","0.5","N","26","2026-01-29 03:20:33.0"
"608","Lake Shore Dr","SE","Oakwood","43rd","0.64","S","-1","2026-01-29 03:20:34.0"
"610","Lake Shore Dr","SE","I-55 Expy","31st","0.75","S","-1","2026-01-29 03:20:34.0"
"563","Cicero","NB","79th","72nd","0.88","S","-1","2026-01-29 03:20:34.0"
"1270","Madison","WB","Wacker","Halsted","0.54","W","25","2026-01-29 03:20:35.0"
"512","Archer","WB","Kostner","Cicero","0.51","S","33","2026-01-29 03:20:35.0"
"1249","Halsted","SB","Pershing","43rd","0.5","S","-1","2026-01-29 03:20:36.0"
"757","Grand","WB","State","LaSalle","0.43","E","-1","2026-01-29 03:20:35.0"
"1204","Halsted","NB","79th","76th","0.38","S","-1","2026-01-29 03:20:35.0"
"216","Roosevelt","EB","Cicero","Kostner","0.5","W","-1","2026-01-29 03:20:34.0"
"1246","Halsted","SB","51st","55th","0.5","S","-1","2026-01-29 03:20:36.0"
"1300","Jackson","EB","Halsted","Wacker","0.54","W","-1","2026-01-29 03:20:37.0"
"411","79th","EB","State","Dr Martin L King Jr","0.49","E","24","2026-01-29 03:20:34.0"
"473","95th","WB","Jeffery","Stony Island","0.5","E","-1","2026-01-29 03:20:35.0"
"468","95th","WB","Michigan","Wentworth","0.41","E","23","2026-01-29 03:20:35.0"
"10","Garfield","EB","Dan Ryan Expy","State","0.27","W","-1","2026-01-29 03:20:33.0"
"240","Roosevelt","WB","Racine","Ashland","0.5","W","-1","2026-01-29 03:20:34.0"
"482","111th","EB","Michigan","Cottage Grove","0.57","E","-1","2026-01-29 03:20:35.0"
"1132","Cicero","SB","31st","Pershing","1.00806841738","S","-1","2026-01-29 03:20:37.0"
"1209","Halsted","NB","59th","55th","0.5","S","-1","2026-01-29 03:20:35.0"
"117","Ashland","NB","Harrison","Washington","0.6","S","-1","2026-01-29 03:20:33.0"
"886","Lake Shore Dr","NE","57th","55th","0.2","N","-1","2026-01-29 03:20:36.0"
"1000","Touhy","EB","Crawford","Kedzie","1.0","W","-1","2026-01-29 03:20:36.0"
"863","Illinois","EB","Michigan","Columbus","0.2","E","25","2026-01-29 03:20:36.0"
"755","Ewing","SB","96th","Indianapolis","0.59","S","-1","2026-01-29 03:20:35.0"
"105","Ashland","NB","63rd","59th","0.5","S","-1","2026-01-29 03:20:33.0"
"2","55th","EB","Central Park","Kedzie","0.5","W","23","2026-01-29 03:20:33.0"
"604","Lake Shore Dr","SW","55th","57th","0.2","S","-1","2026-01-29 03:20:34.0"
"781","Peterson","EB","Western","Damen","0.5","W","25","2026-01-29 03:20:35.0"
"895","Lake Shore Dr","SE","Lawrence","Montrose","0.52","N","-1","2026-01-29 03:20:35.0"
"212","North","WB","LaSalle","Halsted","0.78","W","-1","2026-01-29 03:20:34.0"
"449","79th","WB","California","Kedzie","0.5","W","-1","2026-01-29 03:20:33.0"
"72","Pulaski","SB","Archer","55th","0.62","S","-1","2026-01-29 03:20:33.0"
"1051","Washington","EB","Ogden","Racine","0.41","W","29","2026-01-29 03:20:35.0"
"344","Western","NB","43rd","Pershing","0.5","S","30","2026-01-29 03:20:34.0"
"423","79th","WB","Stony Island","Woodlawn","0.49","E","-1","2026-01-29 03:20:33.0"
"801","Stony Island","NB","79th","75th","0.5","S","-1","2026-01-29 03:20:36.0"
"429","95th","EB","Wentworth","Michigan","0.41","W","29","2026-01-29 03:20:33.0"
"192","North","EB","Damen","Ashland","0.5","W","-1","2026-01-29 03:20:33.0"
"1035","Wacker","SB","Franklin","Lake","0.11","N","-1","2026-01-29 03:20:35.0"
"276","87th","WB","Cottage Grove","Dr Martin L King Jr","0.5","E","-1","2026-01-29 03:20:34.0"
"872","LaSalle","NB","Grand","Chicago","0.35","N","-1","2026-01-29 03:20:36.0"
"104","Ashland","NB","67th","63rd","0.5","S","-1","2026-01-29 03:20:33.0"
"1245","Halsted","SB","55th","59th","0.5","S","-1","2026-01-29 03:20:36.0"
"173","55th","WB","California","Kedzie","0.5","W","-1","2026-01-29 03:20:32.0"
"799","Stony Island","NB","87th","83rd","0.5","S","-1","2026-01-29 03:20:36.0"
"86","Pulaski","SB","Grand","Division","0.24","N","26","2026-01-29 03:20:33.0"
"1058","Randolph","WB","Wacker","Halsted","0.53","W","-1","2026-01-29 03:20:36.0"
"647","Cicero","SB","Armitage","North Ave","0.5","N","-1","2026-01-29 03:20:35.0"
"847","Harlem","SB","Pratt","Devon","0.46","N","-1","2026-01-29 03:20:36.0"
"142","Ashland","SB","51st","55th","0.5","S","-1","2026-01-29 03:20:32.0"
"1211","Halsted","NB","51st","47th","0.5","S","-1","2026-01-29 03:20:37.0"
"601","Lake Shore Dr","NW","Lawrence","Foster","0.51","N","-1","2026-01-29 03:20:34.0"
"699","Dr Martin L King Jr","NB","31st","26th","0.5","S","-1","2026-01-29 03:20:35.0"
"1269","Madison","WB","Michigan","Wacker","0.64","W","25","2026-01-29 03:20:35.0"
"313","Irving Park","WB","Western","California","0.5","W","-1","2026-01-29 03:20:34.0"
"1081","127th","EB","Halsted","Indiana","1.22681017401","W","-1","2026-01-29 03:20:36.0"
